id,name,address,postcode,city,category,tags,creationyear,description
"microdon","microDON","SOCIAL GOOD LAB","15 rue Jean-Baptiste Berlier","75013 Paris","Entreprise",,"2009","microDON est le pionnier de la générosité embarquée. Outils innovants de collecte de dons pour les associations : L'ARRONDI à la caisse, sur bulletin de salaire, sur compte bancaire, sur achats en ligne, sur factures, etc..."
"microsoft","Microsoft","39 quai du Président Roosevelt","92130","Issy-les-Moulineaux","Entreprise","os|logiciels","1975","Microsoft fabrique et vend des systèmes d’exploitation et des logiciels."
"microsoft-ventures-accelerator-paris","Microsoft Ventures Accelerator Paris","6 rue du Sentier","75002","Paris","Incubateur",,"2013","Accélérateur de soutien et d’accompagnement mis en place par le groupe Microsoft auprès des entrepreneurs du numérique."
"middlevr","MiddleVR","11 rue carnot",94270,"Kremlin-Bicêtre","Entreprise","realitevirtuelle|applications|services",2012,"MiddleVR (previously ” i’m in VR ” ) is a software company providing immersive virtual reality (VR) applications and services."
"milibris","miLibris","74 rue Blanche","75009","Paris","Entreprise","édition|distribution|ebook","2009","miLibris est une plate-forme d'intermédiation entre fournisseurs de contenu et portails de vente et propose un service de diffusion et des outils logiciels conçus pour l'industrie du livre et de la presse."
"milliweb","Milliweb","1 rue bleue",75009,"Paris","Entreprise","éducation|applications mobiles|cloud",2010,"Start-up française lancée en 2010, Milliweb est une entreprise éditrice de logiciels libres spécialisée dans la création de Cartables Numériques mobiles, de solutions de diffusion de contenus et d'applications web pour l'Éducation."
"min-max","min&max","26","rue du chemin vert","75011","Entreprise",,"2011","min&max est une société spécialisée dans le pilotage proactif de la satisfaction client. Elle se distingue par son approche originale basée sur l’anticipation de l’insatisfaction."
"minutebuzz","MinuteBuzz","4 rue de la Pierre Levée","75011","Paris","Entreprise","pureplayer|presseenligne|médias","2010","MinuteBuzz est un site média indépendant et sans complexe, qui vous propose tous les jours un concentré des sujets les plus divertissants et impressionnants du web."
"miratech","Miratech","14 rue d'Uzès","75002","Paris","Entreprise","ergonomie|études|usercentric|b2b","2005","Miratech est une entreprise d’ergonomie web et de conception centrée utilisateurs qui intervient sur tous les types d'interfaces numériques."
"miuny","Miuny","110","rue des Poissonniers","75018","Entreprise",,"2011","MiunyGAMES, When Creation becomes Your Game !"
"mixotv","Mixotv","139 boulevard de Magenta","75010","Paris","Entreprise","socialtv|secondscreen|programmeTV","2012","Mixotv est une application de programme TV personnalisée et sociale qui se base sur les goûts des utilisateurs et de leurs amis afin de leur proposer des programmes qui leur correspondent."
"mlstate","MLstate","37 rue des Mathurins","75008","Paris","Entreprise","ocds","2010","MLstate a développé, en partant de zéro, une solution d'envergure qui unit un langage, une base de données et un serveur Web, pour supprimer tout travail d'intégration"
"mmtap-games","MMTAP GAMES","9 chemin Pierre de Ronsard","92400","Courbevoie","Entreprise","jeux vidéo|création","2013","Studio de création de jeux vidéo. MMTAP Games travaille actuellement sur son premier jeu free-to-play, Crown Chronicles."
"moa-informatiques","Moa Informatiques","3 rue Clément Ader","78140","Vélizy-Villacoublay","Entreprise","systèmes d'information|conseil|ingénierie","2010","Entreprise spécialisée dans l'ingéniérie de logiciels"
"mobeye","Mobeye","9 rue Dareau","75014","Paris","Entreprise",,"2013","Mobeye collecte pour les entreprises des données en magasin en rémunérant des consommateurs."
"mobigame","Mobigame","85 boulevard Pasteur","75015","Paris","Entreprise","Jeux vidéo|mobile","2004","Mobigame est une société qui développe, édite et distribue des jeux vidéo pour téléphones mobiles."
"mobilead","mobiLead","118 122 avenue de France","75013","Paris","Entreprise",,"2008","Pionnier en France des systèmes d’identification par lecture radiofréquence NFC et optique QR Code, mobiLead propose une approche disruptive dans la génération, la sécurisation et la gestion de grands nombres de marqueurs - membre du W3C et de l'ISO."
"mobilis-immobilis","Mobilis-Immobilis","45, rue Anatole France","92370","Chaville","Entreprise",,"1998","Cie danse et multimedia. Membre de seineouestdigital.fr"
"mobiquithings","Mobiquithings","15 rue Jean-Baptiste Berlier","75013","Paris","Entreprise","mobile|télécoms|m2m","2010","Mobiquithings et un opérateur mobile dédié à la connectivité M2M."
"mobiview","Mobiview","13 rue des Sablons","75016","Paris","Entreprise","applications mobiles|mobile","2008","Mobiview propose une plateforme qui permet de créer soi-même des applications mobiles."
"moby-systems","Moby Systems","22-23 quai du Pdt Carnot","92210","Saint-Cloud","Entreprise","transports","2010","Moby Systems est experte en nouvelles technologies liées aux mobiles. Nos solutions s'articulent autour du web, du e-commerce, du marketing, et de la transmission d'informations multiples."
"mobypark","MobyPark","151 rue Montmartre","75002","Paris","Entreprise","location|parking|économie collaborative","2012","MobyPark est un service de location de places de parking inoccupées entre particuliers."
"mockupgo","MockupGo","57 RUE LABROUSTE","75015","Paris","Entreprise","programmation","2012","MockupGo is an online tool that makes it quick and easy to share and get feedback for both static images and responsive html prototypes. It provides on-page feedback for your team or client, and supports faster iterations of your design."
"modizy","Modizy","41 rue Emile Zola","93100","Montreuil","Entreprise","shopping|personalshopper|ecommerce","2012","Modizy est un assistant shopping personnalisé qui sélectionne les tendances de mode que vous aimez."
"moebius-factory","Moebius Factory","30 Rue du Bois Beaudoin",77930,"Cély","Entreprise","prototypage|modélisation|petites séries|conception|formation",2015,"Moebius Factory est un atelier de fabrication numérique réservé aux TPE/PME, Designer et Architectes, Chercheurs. (Impression 3D, fraisage à commandes numériques, rotomoulage,  production de pièces en petite série)."
"mon-avocat-fr","mon-avocat.fr","68 rue Saint Honoré",75001,"Paris","Entreprise","communication|services de proximité|conseil",2015,"Mon-avocat.fr, le 1er guide détaillé d'avocats en France"
"mon-vanity-ideal","Mon Vanity Idéal","11 rue de la Convention 75 015 Paris","75015","Paris","Entreprise",,"2013","Mon Vanity Idéal est un site d'avis beauté qui regroupe les meilleurs produits cosmétiques de ses membres, pour acheter sans se tromper. Egalement une newsletter, des vidéos, des interview beauté."
"monalbumphoto","MonAlbumPhoto","13, rue du Capricorne","94150","Rungis","Entreprise","album","2004","Spécialiste de l'album photo imprimé et relié comme un vrai livre. Il suffit de télécharger gratuitement le logiciel de création sur son ordinateur. Pratique, aucune connexion internet n’est requise pour l’utiliser."
