status,unregistered,guest,title,participants,cabinet,guestid,host,date,id,guest_contact_country,guest_code,guest_name,guest_cost_min,guest_main_category,guest_acronym,guest_accredited,guest_cost_max,guest_fte,guest_cost_absolute,guest_id,guest_sub_category
registered,,,Digital Single Market,4,Cabinet members of President Jean-Claude Juncker,df61c4281bb04deebbe03dea77f9be11,Pauline Rouch,2015-02-17T00:00:00,24e73140873b53b20b169a4e31aba5fc,82,3209361971-85,Zweites Deutsches Fernsehen,50000,6,ZDF,3,99999,3,,df61c4281bb04deebbe03dea77f9be11,66
registered,,,Investment Plan,1,Cabinet members of President Jean-Claude Juncker,abf24158480749239e283112dd18e9a0,Paulina Dejmek Hack,2015-02-17T00:00:00,bd20f5403fb6b36d6f7b95cf94bdb249,214,190987114891-73,Investor AB,50000,2,Investor AB,,99999,0.25,,abf24158480749239e283112dd18e9a0,21
registered,,,Energy Union,1,Cabinet members of President Jean-Claude Juncker,94fbaacea67446cc9530b8cc5892e442,Telmo Baltazar,2015-02-17T00:00:00,2e4754eb811d2625c344d3efa351f33d,108,83425058760-88,Federazione Imprese Siderurgiche Italiane,100000,2,FEDERACCIAI,4,199999,1,,94fbaacea67446cc9530b8cc5892e442,25
registered,,,Priorities of the new Commission,1,Cabinet members of President Jean-Claude Juncker,878e394083f342588f01610bc01f038b,Paulina Dejmek Hack,2015-02-11T00:00:00,f4779e6489dfd304b3e787464d00d6ee,21,26098317349-65,ONE,500000,3,,14,599999,10,,878e394083f342588f01610bc01f038b,31
registered,,,Trade,1,Cabinet members of President Jean-Claude Juncker,ea83ed783a0c4993a350549622716015,Leon Delvaux,2015-02-11T00:00:00,d44b84817af7559bf48098c6d2e7c1bf,127,431612415760-82,FELULA SA,,1,,,9999,0.25,,ea83ed783a0c4993a350549622716015,13
registered,,,Energy Union,1,Cabinet members of President Jean-Claude Juncker,3ae7e80fa89f4d3cba21b1fa1e2ac219,Telmo Baltazar,2015-02-05T00:00:00,9fc3df4fa6dc5238ea02d93d55ae24e3,82,8999533555-91,Robert Bosch GmbH,1000000,2,,6,1249999,6.25,,3ae7e80fa89f4d3cba21b1fa1e2ac219,21
registered,,,Health matters,1,Cabinet members of President Jean-Claude Juncker,6c2c482faafd4bac92958ff010a1537b,Leon Delvaux,2015-02-04T00:00:00,29d3a16d4fe528e0a9b50788bec9008c,21,48562122691-12,EuroHealthNet,,3,,3,9999,9,,6c2c482faafd4bac92958ff010a1537b,31
registered,,,"Mr De Molli, CEO, asked to introduce the company and illustrate this year's Forum",1,Cabinet members of President Jean-Claude Juncker,dbe4085c19fa4db6ab5a51e4e088e4be,Carlo Zadra,2015-02-04T00:00:00,bdbf1836e28e2e04e80185e0c33b7421,108,625244214975-24,The European House - Ambrosetti,25000,1,TEH-A,,49999,2.25,,dbe4085c19fa4db6ab5a51e4e088e4be,11
registered,,,Energy Union,1,Cabinet members of President Jean-Claude Juncker,aaf4d636bdae4c839d549994afeb1c0f,Telmo Baltazar,2015-02-04T00:00:00,d174d39735fdb17fb7f45e0d2344fe5c,75,41126912590-71,AREVA SA,600000,2,,3,699999,4.75,,aaf4d636bdae4c839d549994afeb1c0f,21
registered,,,Digital Single Market,1,Cabinet members of President Jean-Claude Juncker,5ce4282aebc64622a62c5d50ab8a8ba2,Pauline Rouch,2015-02-04T00:00:00,63582563ea1ff20556453083f31032d3,215,40386322300-77,eBay EU liaison office,400000,2,eBay,3,499999,1.5,,5ce4282aebc64622a62c5d50ab8a8ba2,21
registered,,,Meeting between Ms Martinez Alberola and Ana Palacio,1,Cabinet members of President Jean-Claude Juncker,bc9726731331421187de7bb5d8314a4e,Clara Martinez Alberola,2015-02-04T00:00:00,5158a1a58d1bc0fdf3b619c9301b2086,209,400183910694-08,SALESAS TRES CENTRO DE ESTUDIOS,10000,1,,4,24999,2.25,,bc9726731331421187de7bb5d8314a4e,12
registered,,,Digital Single Market,1,Cabinet members of President Jean-Claude Juncker,ad4343059d4a487ca186bade9076487b,Pauline Rouch,2015-02-03T00:00:00,434296d4b403261253c66215e785295b,21,54437813115-56,European Association of Internet Services Providers,,2,EuroISPA,,9999,0.75,,ad4343059d4a487ca186bade9076487b,26
registered,,,Capital Markets Union,1,Cabinet members of President Jean-Claude Juncker,db7935b85ade44f3a5b003a272eae291,Paulina Dejmek Hack,2015-01-30T00:00:00,56c6321eed7a52f5e94384bca9c83bdf,233,86270761494-62,Aviva Plc,500000,2,Aviva,,599999,2,,db7935b85ade44f3a5b003a272eae291,21
registered,,,Trade,1,Cabinet members of President Jean-Claude Juncker,94fbaacea67446cc9530b8cc5892e442,Leon Delvaux,2015-01-30T00:00:00,124b6def018a803932bf661411c089cc,108,83425058760-88,Federazione Imprese Siderurgiche Italiane,100000,2,FEDERACCIAI,4,199999,1,,94fbaacea67446cc9530b8cc5892e442,25
registered,,,Energy Union,1,Cabinet members of President Jean-Claude Juncker,661032156e3143f7be08a999b48e23d8,Telmo Baltazar,2015-01-29T00:00:00,29b1e354023d017f6d3e544f401f1780,75,656322315335-91,Association française du gaz,,2,AFG,,,0.75,100000,661032156e3143f7be08a999b48e23d8,26
registered,,,Digital Single Market,1,Cabinet members of President Jean-Claude Juncker,388d31d917304c4f859b029541786e9d,Pauline Rouch,2015-01-29T00:00:00,b313c7749c1e16e6865bc46d4ecc30e6,233,00919034091-89,BT Group plc,,2,BT,4,,4.25,950000,388d31d917304c4f859b029541786e9d,21
registered,,,Digital Single Market,1,Cabinet members of President Jean-Claude Juncker,768c93c241d64bd5a45c92e810268b98,Pauline Rouch,2015-01-29T00:00:00,1387b9ee98966c211fdce126e9154fbb,21,42178977290-80,Cable Europe,,2,,4,,5.5,1000000,768c93c241d64bd5a45c92e810268b98,25
registered,,,New Commission's priorities,1,Cabinet members of President Jean-Claude Juncker,4054501cc04842ec80b2b29e7d17fb38,Paulina Dejmek Hack,2015-01-29T00:00:00,c4f9edd4f212e99d037c7ec8406d761d,233,237922911665-25,TheCityUK,2000000,2,,,2249999,5,,4054501cc04842ec80b2b29e7d17fb38,25
registered,,,Data protection issues,1,Cabinet members of President Jean-Claude Juncker,12cd636e447347e491043c02be353e2c,Carlo Zadra,2015-01-28T00:00:00,7ee4087af5d548060bd5106d801cbebe,21,501468815548-71,Coalition of European Organisations on Data Protection,,3,,,9999,0.5,,12cd636e447347e491043c02be353e2c,31
registered,,,Digital Single Market,1,Cabinet members of President Jean-Claude Juncker,5263e8a636dd49b28e4d1252b53c5fb6,Pauline Rouch,2015-01-27T00:00:00,90e903b8fe5f1069f618710e31a893ca,21,422544515758-37,Sports Rights Owners Coalition,,2,SROC,,9999,5,,5263e8a636dd49b28e4d1252b53c5fb6,25
registered,,,Current EU Policy Issues,1,Cabinet members of President Jean-Claude Juncker,996c56b9a1354c5392858792eb95261b,Telmo Baltazar Martin Selmayr,2015-02-26T00:00:00,cda1e0ddb25bd9e437556e43aaac2e39,82,95574664768-90,Verband der Automobilindustrie,,2,VDA,3,,14,2490247,996c56b9a1354c5392858792eb95261b,25
registered,,,Current EU Policy Issues,1,Cabinet members of President Jean-Claude Juncker,287fb48276334ca596dcdcd639fc0553,Martin Selmayr,2015-01-27T00:00:00,c59a15cf28bbf105aab926a920c31ba2,233,524976815651-12,Centre for European Reform,,4,CER,,9999,13,,287fb48276334ca596dcdcd639fc0553,41
registered,,,Digital Single Market,1,Cabinet members of President Jean-Claude Juncker,5b8082a143944f45be43a6de730ecb72,Pauline Rouch,2015-01-26T00:00:00,de964e47e57a4c7d2bd5ffcca4d0327b,75,099112415244-08,LeGuide.com,,2,LeGuide,,9999,0.25,,5b8082a143944f45be43a6de730ecb72,21
registered,,,Energy Union,1,Cabinet members of President Jean-Claude Juncker,aac5ca5c751449f78d0c706904a23cd3,Telmo Baltazar,2015-01-26T00:00:00,6c1c83a6402cbcb24d5d5150878eab0b,21,1414929419-24,WWF European Policy Programme,1000000,3,WWF EPO,10,1249999,12.75,,aac5ca5c751449f78d0c706904a23cd3,31
registered,,,Energy Union,1,Cabinet members of President Jean-Claude Juncker,ecbcb50dae0d41499e12a474ad7619af,Telmo Baltazar,2015-01-26T00:00:00,9d39b806f435294c4b73f512e8eeb673,21,88457577025-19,Euroheat & Power,,2,EHP,2,9999,3,,ecbcb50dae0d41499e12a474ad7619af,25
