id,status,guest,host,cabinet,date,guestid,title,unregistered,participants
24e73140873b53b20b169a4e31aba5fc,registered,,Pauline Rouch,Cabinet members of President Jean-Claude Juncker,2015-02-17T00:00:00,c0d3ea246e3a4f89a28a77737ca5b19e,Digital Single Market,,4
24e73140873b53b20b169a4e31aba5fc,registered,,Pauline Rouch,Cabinet members of President Jean-Claude Juncker,2015-02-17T00:00:00,df61c4281bb04deebbe03dea77f9be11,Digital Single Market,,4
bd20f5403fb6b36d6f7b95cf94bdb249,registered,,Paulina Dejmek Hack,Cabinet members of President Jean-Claude Juncker,2015-02-17T00:00:00,abf24158480749239e283112dd18e9a0,Investment Plan,,1
2e4754eb811d2625c344d3efa351f33d,registered,,Telmo Baltazar,Cabinet members of President Jean-Claude Juncker,2015-02-17T00:00:00,94fbaacea67446cc9530b8cc5892e442,Energy Union,,1
f4779e6489dfd304b3e787464d00d6ee,registered,,Paulina Dejmek Hack,Cabinet members of President Jean-Claude Juncker,2015-02-11T00:00:00,878e394083f342588f01610bc01f038b,Priorities of the new Commission,,1
d44b84817af7559bf48098c6d2e7c1bf,registered,,Leon Delvaux,Cabinet members of President Jean-Claude Juncker,2015-02-11T00:00:00,ea83ed783a0c4993a350549622716015,Trade,,1
9fc3df4fa6dc5238ea02d93d55ae24e3,registered,,Telmo Baltazar,Cabinet members of President Jean-Claude Juncker,2015-02-05T00:00:00,3ae7e80fa89f4d3cba21b1fa1e2ac219,Energy Union,,1
29d3a16d4fe528e0a9b50788bec9008c,registered,,Leon Delvaux,Cabinet members of President Jean-Claude Juncker,2015-02-04T00:00:00,6c2c482faafd4bac92958ff010a1537b,Health matters,,1
bdbf1836e28e2e04e80185e0c33b7421,registered,,Carlo Zadra,Cabinet members of President Jean-Claude Juncker,2015-02-04T00:00:00,dbe4085c19fa4db6ab5a51e4e088e4be,"Mr De Molli, CEO, asked to introduce the company and illustrate this year's Forum",,1
d174d39735fdb17fb7f45e0d2344fe5c,registered,,Telmo Baltazar,Cabinet members of President Jean-Claude Juncker,2015-02-04T00:00:00,aaf4d636bdae4c839d549994afeb1c0f,Energy Union,,1
63582563ea1ff20556453083f31032d3,registered,,Pauline Rouch,Cabinet members of President Jean-Claude Juncker,2015-02-04T00:00:00,5ce4282aebc64622a62c5d50ab8a8ba2,Digital Single Market,,1
5158a1a58d1bc0fdf3b619c9301b2086,registered,,Clara Martinez Alberola,Cabinet members of President Jean-Claude Juncker,2015-02-04T00:00:00,bc9726731331421187de7bb5d8314a4e,Meeting between Ms Martinez Alberola and Ana Palacio,,1
434296d4b403261253c66215e785295b,registered,,Pauline Rouch,Cabinet members of President Jean-Claude Juncker,2015-02-03T00:00:00,ad4343059d4a487ca186bade9076487b,Digital Single Market,,1
